Number,Symbol,Name,Details,Version,Token Address,Etherscan Link,Owner,Granularity,Total Supply,Transfers Frozen,Minting Frozen,Controller,Investor,Latest Checkpoint,Modules Attached (PermissionManager),Modules Attached (TransferManager),Modules Attached (STO),Modules Attached (Checkpoint),Modules Attached (Burn)
1,WE.R.LIVE,Polymath Test Token,0x00,2.0.0,0x34ca1fce2b676d483f6c498c4669be078f853b65,https://etherscan.io/token/0x34ca1fce2b676d483f6c498c4669be078f853b65,0xfD4c0F5848642FC2041c003cb684fc66B16217bc,1,"773,617",FALSE,FALSE,0x0000000000000000000000000000000000000000,23,4,0,1,0,1,0
2,ANN,Agent Not Needed,AgentNotNeeded STO,2.0.0,0x2739d364c690547b2f2a98d072f388a8920876ac,https://etherscan.io/token/0x2739d364c690547b2f2a98d072f388a8920876ac,0x27448B14A7c16c613b4e8Ef4Fdc26283955e994B,1.00E+18,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
3,7PASS,7PASS,https://www.7passtoken.com/,2.0.0,0x13d74fc501cc63f94cc8778bdf4686222e324eaa,https://etherscan.io/token/0x13d74fc501cc63f94cc8778bdf4686222e324eaa,0x029023C27209275d383B9d882FF751bf73Fd7730,1,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
4,EXAT,Exacore Token,https://exacore.io/wp-content/uploads/2018/07/exacore-whitepaper-v0.1-1.pdf,2.0.0,0xf842e50c1c8823b993ccabbd89c43342497dd308,https://etherscan.io/token/0xf842e50c1c8823b993ccabbd89c43342497dd308,0xd87cC86789c79bb02043463efC94D8E76E328A98,1.00E+18,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
5,BHG,BlackHorse Group,,2.0.0,0x890a29aaf5698dd27dd43ae87082dedb06cd87c4,https://etherscan.io/token/0x890a29aaf5698dd27dd43ae87082dedb06cd87c4,0x55bcB10966588F978e34C57cC9e52AE7121cC8A4,1,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
6,BHG,BlackHorse Group,,2.0.0,0xfedfe985ce3fb5b6d065966bec25b70a9380c97d,https://etherscan.io/token/0xfedfe985ce3fb5b6d065966bec25b70a9380c97d,0x55bcB10966588F978e34C57cC9e52AE7121cC8A4,1,"1,000,000,000",FALSE,FALSE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
7,RMT,renmintoken,,2.0.0,0x946546ef7d6adca5239e12da9f5b32a4a4f973b7,https://etherscan.io/token/0x946546ef7d6adca5239e12da9f5b32a4a4f973b7,0xD52d25C8B6e3704AAb3D8bE8e1A33a5da070C2a9,1,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
8,BUFF,Buffalo Chicken,,2.0.0,0x2bc5ad80b9ff6308af27bfd826654bee02dcbf95,https://etherscan.io/token/0x2bc5ad80b9ff6308af27bfd826654bee02dcbf95,0x212bc2ED72CBC59E9856E8008fD52CaFF627aCB4,1,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
9,RMT,renmintoken,,2.0.0,0x946546ef7d6adca5239e12da9f5b32a4a4f973b7,https://etherscan.io/token/0x946546ef7d6adca5239e12da9f5b32a4a4f973b7,0xD52d25C8B6e3704AAb3D8bE8e1A33a5da070C2a9,1,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
10,CRYP,CRYP Token,,2.0.0,0xb9864a507040d0aa0d5d7eb892aab759df935a7f,https://etherscan.io/token/0xb9864a507040d0aa0d5d7eb892aab759df935a7f,0x8f28E1cC162427b1731D6e1365F546398a7e2Ed4,1.00E+18,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
